	uner-name	uner-class	name	id
84252	Vidanovci	Name-Location-GPE-GPE_Other	Vidanovci	entity_9203284
84253	Vogričevci	Name-Location-GPE-GPE_Other	Vogričevci	entity_13800568
84254	Zgornji Kamenščak	Name-Location-GPE-GPE_Other	Zgornji_Kamenščak	entity_11561481
84255	Železne Dveri	Name-Location-GPE-GPE_Other	Železne_Dveri	entity_13432030
84271	No Show	Name-Product-Art-Broadcast_Program	No_Show	entity_1377055
84276	Bukavu	Name-Location-GPE-City	Bukavu	entity_3206694
84300	Kristianstad	Name-Location-GPE-City	Kristianstad	entity_11947143
84302	Money Can't Buy	Name-Product-Art-Music	Money_Can't_Buy	event_717459
84303	Red Blooded Woman	Name-Product-Art-Music	Red_Blooded_Woman	entity_3117002
84309	KylieFever2002	Name-Event-Occasion-Game	KylieFever2002	event_754168
84364	Zgornja Kungota	Name-Location-GPE-City	Zgornja_Kungota	entity_13193025
84365	Ciringa	Name-Location-GPE-GPE_Other	Ciringa	entity_9119131
84366	Grušena	Name-Location-GPE-GPE_Other	Grušena	entity_9248984
84367	Jedlovnik	Name-Location-GPE-GPE_Other	Jedlovnik	entity_2189999
84368	Jurski Vrh	Name-Location-GPE-GPE_Other	Jurski_Vrh	entity_8048352
84369	Kozjak nad Pesnico	Name-Location-GPE-GPE_Other	Kozjak_nad_Pesnico	entity_7702166
84370	Plintovec	Name-Location-Geological_Region-River	Plintovec	entity_3984537
84371	Podigrac	Name-Location-GPE-GPE_Other	Podigrac	entity_8232285
84372	Slatinski Dol	Name-Location-GPE-GPE_Other	Slatinski_Dol	entity_4633583
84373	Spodnje Vrtiče	Name-Location-GPE-GPE_Other	Spodnje_Vrtiče	entity_981055
84374	Svečina	Name-Location-GPE-GPE_Other	Svečina	entity_9657544
84375	Špičnik	Name-Location-GPE-GPE_Other	Špičnik	entity_5510406
84376	Vršnik	Name-Location-GPE-GPE_Other	Vršnik	entity_10205252
84377	Zgornje Vrtiče	Name-Location-GPE-GPE_Other	Zgornje_Vrtiče	entity_3509233
84386	Pačir	Name-Location-GPE-City	Pačir	entity_1085958
84401	Mia Hamm	Name-Person-Name_Person	Mia_Hamm	entity_6828937
84402	Juan Román Riquelme	Name-Person-Name_Person	Juan_Román_Riquelme	entity_7595267
84404	Kidričevo	Name-Location-GPE-GPE_Other	Kidričevo	entity_2098610
84422	Carmen Hernández	Name-Person-Name_Person	Carmen_Hernández	entity_11121503
84452	Banja Koviljača	Name-Location-GPE-GPE_Other	Banja_Koviljača	entity_7996955
84474	Cumbria	Name-Location-GPE-GPE_Other	Cumbria	entity_1664483
84505	Ruše	Name-Location-GPE-GPE_Other	Ruše	entity_4268106
84511	Tennessee Williams	Name-Person-Name_Person	Tennessee_Williams	entity_8713809
84521	Noskovci	Name-Location-GPE-City	Noskovci	entity_11391582
84526	Request + Line	Name-Product-Art-Music	Request_+_Line	entity_9728881
84531	Nermin Nikšić	Name-Person-Name_Person	Nermin_Nikšić	entity_13348276
84532	Zlatko Lagumdžija	Name-Person-Name_Person	Zlatko_Lagumdžija	entity_890840
84548	Anaheim Ducks	Name-Organization-Sports_Organization-Pro_Sports_Organization	Anaheim_Ducks	entity_3256349
84560	Evil Activities	Name-Organization-Show_Organization	Evil_Activities	entity_1372659
84562	Juraj Ratkaj	Name-Person-Name_Person	Juraj_Ratkaj	entity_12699629
84599	EC KAC	Name-Organization-Sports_Organization-Pro_Sports_Organization	EC_KAC	entity_6217732
84651	BEP Empire/Get Original	Name-Product-Art-Music	BEP_Empire/Get_Original	entity_2116040
84652	Fredrik Nordström	Name-Person-Name_Person	Fredrik_Nordström	entity_11596791
84658	EHC Black Wings Linz	Name-Organization-Sports_Organization-Pro_Sports_Organization	EHC_Black_Wings_Linz	entity_2838893
84741	RMS Olympic	Name-Product-Vehicle-Ship	RMS_Olympic	entity_9887692
84742	Brce	Name-Location-GPE-GPE_Other	Brce	entity_9721665
84743	Dolenje pri Jelšanah	Name-Location-GPE-City	Dolenje_pri_Jelšanah	entity_3831400
84744	Dolnja Bitnja	Name-Location-GPE-GPE_Other	Dolnja_Bitnja	entity_13591309
84745	Dolnji Zemon	Name-Location-GPE-GPE_Other	Dolnji_Zemon	entity_1208669
84746	Čelje	Name-Location-GPE-City	Čelje	entity_13159606
84747	Gornja Bitnja	Name-Location-GPE-GPE_Other	Gornja_Bitnja	entity_3814238
84748	Gornji Zemon	Name-Location-GPE-GPE_Other	Gornji_Zemon	entity_6032332
84749	Harije	Name-Location-GPE-City	Harije	entity_11674778
84750	Janeževo Brdo	Name-Location-GPE-City	Janeževo_Brdo	entity_4301880
84751	Jelšane	Name-Location-GPE-City	Jelšane	entity_7040482
84752	Kilovče	Name-Location-GPE-City	Kilovče	entity_10979252
84753	Koritnice	Name-Location-GPE-City	Koritnice	entity_6501800
84754	Kuteževo	Name-Location-GPE-GPE_Other	Kuteževo	entity_3604700
84755	Male Loče	Name-Location-GPE-City	Male_Loče	entity_3682471
84756	Mereče	Name-Location-GPE-City	Mereče	entity_7708391
84757	Novokračine	Name-Location-GPE-City	Novokračine	entity_2635475
84758	Ostrožno Brdo	Name-Location-GPE-City	Ostrožno_Brdo	entity_13318327
84759	Podbeže	Name-Location-GPE-City	Podbeže	entity_3698219
84760	Podgraje	Name-Location-GPE-GPE_Other	Podgraje	entity_5231331
84761	Podstenje	Name-Location-GPE-City	Podstenje	entity_10618439
84762	Podstenjšek	Name-Location-GPE-GPE_Other	Podstenjšek	entity_10673534
84763	Pregarje	Name-Location-GPE-City	Pregarje	entity_1235760
84764	Ratečevo Brdo	Name-Location-GPE-City	Ratečevo_Brdo	entity_1546642
84765	Rjavče	Name-Location-GPE-City	Rjavče	entity_11662524
84766	Sabonje	Name-Location-GPE-City	Sabonje	entity_5167216
84767	Smrje	Name-Location-GPE-City	Smrje	entity_7650962
84768	Soze	Name-Location-GPE-City	Soze	entity_4274784
84769	Starod	Name-Location-GPE-City	Starod	entity_10971388
84770	Studena Gora	Name-Location-GPE-GPE_Other	Studena_Gora	entity_5814056
84771	Šembije	Name-Location-GPE-City	Šembije	entity_2364273
84772	Tominje	Name-Location-GPE-City	Tominje	entity_1126005
84773	Trpčane	Name-Location-GPE-GPE_Other	Trpčane	entity_8844504
84774	Zabiče	Name-Location-GPE-City	Zabiče	entity_4666895
84775	Zajelšje	Name-Location-GPE-City	Zajelšje	entity_12502436
84776	Zarečica	Name-Location-GPE-GPE_Other	Zarečica	entity_2296992
84779	Emma Roberts	Name-Person-Name_Person	Emma_Roberts	entity_9849210
84787	Angela Gossow	Name-Person-Name_Person	Angela_Gossow	entity_3427718
84789	Hermann Rorschach	Name-Person-Name_Person	Hermann_Rorschach	entity_11592075
84855	Rajko Mitić	Name-Person-Name_Person	Rajko_Mitić	entity_13480558
84856	Dragoslav Šekularac	Name-Person-Name_Person	Dragoslav_Šekularac	entity_6463905
84864	I'm a Slave 4 U	Name-Product-Art-Music	I'm_a_Slave_4_U	entity_10539033
84865	Thomas Sankara	Name-Person-Name_Person	Thomas_Sankara	entity_8926354
84875	Zombie Attack	Name-Product-Art-Music	Zombie_Attack	entity_8015070
84877	EC VSV	Name-Organization-Sports_Organization-Pro_Sports_Organization	EC_VSV	entity_2373556
84882	Babna Polica	Name-Location-GPE-GPE_Other	Babna_Polica	entity_12765252
84883	Babno Polje	Name-Location-GPE-City	Babno_Polje	entity_8077593
84884	Dolenje Poljane	Name-Location-GPE-GPE_Other	Dolenje_Poljane	entity_10291790
84885	Klance	Name-Location-GPE-City	Klance	entity_7953378
84886	Knežja Njiva	Name-Location-GPE-City	Knežja_Njiva	entity_1826686
84887	Lož	Name-Location-GPE-GPE_Other	Lož	entity_7061764
84888	Nadlesk	Name-Location-GPE-City	Nadlesk	entity_13198985
84889	Podcerkev	Name-Location-GPE-GPE_Other	Podcerkev	entity_4158126
84890	Podgora pri Ložu	Name-Location-GPE-City	Podgora_pri_Ložu	entity_2388030
